PO Number,Load ID,Internal ID,Cases,Weight,Carrier Name,Industry SCAC,MABD,PO Dest,PO Type,Department
6736540683,77584635,23053107,18,27,WAL-MART DISP 16,W-6816,5/14/24,6025,33,40
6781345673,77584635,23053108,13,19,WAL-MART DISP 16,W-6816,5/12/24,7036,33,40
6781740726,77584635,23053109,37,54,WAL-MART DISP 16,W-6816,5/17/24,6070,33,40
6831690682,77584635,23053395,12,24,WAL-MART DISP 16,W-6816,5/18/24,6040,33,79
6831740590,77584635,23053396,11,16,WAL-MART DISP 16,W-6816,5/13/24,6011,33,40
7231444536,77584635,23053398,18,27,WAL-MART DISP 16,W-6816,5/14/24,7045,33,40
7381651809,77584635,23053399,24,35,WAL-MART DISP 16,W-6816,5/17/24,6010,33,40
7381770133,77584635,23052905,25,37,WAL-MART DISP 16,W-6816,5/14/24,6066,33,40
7480238629,77584635,23052906,14,32,WAL-MART DISP 16,W-6816,5/14/24,7045,33,79
7481178438,77584635,23052907,19,28,WAL-MART DISP 16,W-6816,5/18/24,6027,33,40
7481257074,77584635,23052908,30,44,WAL-MART DISP 16,W-6816,5/15/24,7026,33,40
7531651945,77584635,23052909,21,31,WAL-MART DISP 16,W-6816,5/18/24,6080,33,40
7531770097,77584635,23053110,12,18,WAL-MART DISP 16,W-6816,5/20/24,6021,33,40
7631357143,77584635,23053111,25,37,WAL-MART DISP 16,W-6816,5/16/24,6031,33,40
7781079377,77584635,23053113,21,31,WAL-MART DISP 16,W-6816,5/16/24,6054,33,40
8631065712,77584635,23053025,28,66,WAL-MART DISP 16,W-6816,5/16/24,6054,33,79
8631641229,77584635,23053026,22,60,WAL-MART DISP 16,W-6816,5/18/24,6027,33,79
8830387274,77584635,23053027,14,38,WAL-MART DISP 16,W-6816,5/14/24,6039,33,79
8831036529,77584635,23053028,37,95,WAL-MART DISP 16,W-6816,5/14/24,6017,33,79
9031720499,77584635,23053029,20,55,WAL-MART DISP 16,W-6816,5/15/24,7026,33,79
9081127431,77584635,23052910,10,15,WAL-MART DISP 16,W-6816,5/14/24,6009,33,40
9331127309,77584635,23052911,21,31,WAL-MART DISP 16,W-6816,5/21/24,6023,33,40
9681187812,77584635,23052912,31,45,WAL-MART DISP 16,W-6816,5/12/24,6036,33,40
